D.OrderHeaderID,D.PersonID,user_visit,H.NbDiners,nb_visits,avg_ticketU,pch_freq,visit_duration,TemperatureC,Humidity,Wind_Direction,Conditions,DoW,DoM,WoY,MoY,QoY,schedule,H,HMS
1310,10871,0,2,1,18.0,0.0,38.424066666762,16,45,North,Clear,4,19,42,10,4,no_event,17,17:00:00
1311,10877,0,1,1,22.5,0.0,6.75928333202998,15,46,North,Clear,4,19,42,10,4,no_event,19,19:00:00
1311,10878,0,1,1,16.0,0.0,6.5215499997139,15,46,North,Clear,4,19,42,10,4,no_event,19,19:00:00
1311,10879,0,1,1,36.0,0.0,6.20956666866938,15,46,North,Clear,4,19,42,10,4,no_event,19,19:00:00
1312,10887,0,2,1,18.5,0.0,12.360900000731199,11,71,NNE,Clear,5,20,42,10,4,holidays,10,10:30:00
1312,10888,0,2,1,23.2,0.0,11.4637166659037,11,71,NNE,Clear,5,20,42,10,4,holidays,10,10:30:00
1313,10891,0,4,1,18.2,0.0,4.70361666679382,11,71,NNE,Clear,5,20,42,10,4,holidays,10,10:30:00
1313,10893,0,4,1,15.0,0.0,2.76921666463216,11,71,NNE,Clear,5,20,42,10,4,holidays,10,10:30:00
1313,10894,0,4,1,18.2,0.0,1.58433333237966,11,71,NNE,Clear,5,20,42,10,4,holidays,10,10:30:00
1314,10897,0,1,1,13.0,0.0,2.10600000222524,13,67,NNE,Clear,5,20,42,10,4,holidays,11,11:30:00
1315,10909,0,2,1,16.0,0.0,11.051549998919196,14,41,North,Clear,5,20,42,10,4,holidays,19,19:00:00
1316,10912,0,2,1,17.0,0.0,3.1890666683514906,12,62,North,Clear,5,20,42,10,4,holidays,19,19:30:00
1316,10913,0,2,1,18.0,0.0,4.4252833366394,12,62,North,Clear,5,20,42,10,4,holidays,19,19:30:00
1317,10915,0,3,1,11.0,0.0,3.91766666571299,10,69,ENE,Clear,6,21,43,10,4,holidays,11,11:00:00
1317,10916,0,3,1,17.0,0.0,2.78133333126704,10,69,ENE,Clear,6,21,43,10,4,holidays,11,11:00:00
1320,10918,0,2,1,45.5,0.0,19.4835500001907,12,67,Variable,Clear,6,21,43,10,4,holidays,11,11:30:00
1318,10921,0,2,1,17.5,0.0,4.02138333320618,12,67,Variable,Clear,6,21,43,10,4,holidays,11,11:30:00
1318,10922,0,2,1,26.5,0.0,4.1596666653951,12,67,Variable,Clear,6,21,43,10,4,holidays,11,11:30:00
1319,10923,0,2,1,21.0,0.0,48.5522333343824,12,67,Variable,Clear,6,21,43,10,4,holidays,11,11:30:00
1321,10935,0,4,1,50.0,0.0,9.73071666558584,16,45,NE,Clear,6,21,43,10,4,holidays,17,17:30:00
1321,10936,0,4,1,23.5,0.0,10.600999999046303,16,45,NE,Clear,6,21,43,10,4,holidays,17,17:30:00
1321,10937,0,4,1,26.0,0.0,9.153833333651221,16,45,NE,Clear,6,21,43,10,4,holidays,17,17:30:00
1319,10939,0,2,1,13.0,0.0,0.91078333457311,12,67,Variable,Clear,6,21,43,10,4,holidays,11,11:30:00
1319,10940,0,2,1,13.0,0.0,1.3689333319664,12,67,Variable,Clear,6,21,43,10,4,holidays,11,11:30:00
1322,10941,0,2,1,18.0,0.0,8.07133333683014,13,49,NE,Clear,6,21,43,10,4,holidays,20,20:00:00
1323,10943,0,4,1,16.0,0.0,12.894950000445002,8,75,ENE,Clear,7,22,43,10,4,holidays,10,10:00:00
1323,10944,0,4,1,16.5,0.0,1.89278333584468,8,75,ENE,Clear,7,22,43,10,4,holidays,10,10:00:00
