,mean_visit_duration,median_visit_duration,std_visit_duration
CHICKEN - 26cm  - fromage de chèvre  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - jambon  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - lardons fumés  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - merguez  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Miel - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Noix - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Oeuf - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - œuf  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - oignons  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Olives 26  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - pepperoni  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - poivrons  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - pommes de terre  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - poulet  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Reblochon - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Roquefort - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm Sans Mozzarella  ID7,56.181032036580135,55.29077589371525,34.919060672155766
CHICKEN - 26cm Sans Oignons  ID7,56.181032036580135,55.250989660718126,34.919060672155766
CHICKEN - 26cm Sans Poivrons  ID7,56.38172553261043,55.793622302919786,35.416836884124976
CHICKEN - 26cm Sans Poulet  ID7,55.492401828095694,55.24769889085029,34.919060672155766
CHICKEN - 26cm Saumon - 26 cm  ID7,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 26cm  - tomates fraîches  ID7,55.299723358324385,55.24769889085029,34.3054053814371
CHICKEN - 31cm Ananas - 31 cm  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm Anchois - 31 cm  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm Banane - 31 cm  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm  - bœuf épicé  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - câpres  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - champignons frais  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - chorizo  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm  - crème fraîche  ID8,54.67796820532271,54.982710376773326,34.945114405832754
CHICKEN - 31cm  - double mozzarella  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - fromage de chèvre  ID8,55.4554281710664,55.0635943391468,35.500929897140985
CHICKEN - 31cm  - jambon  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm  - lardons fumés  ID8,54.64099454829343,54.798605825069856,34.3054053814371
CHICKEN - 31cm  - merguez  ID8,54.43714412472417,54.798605825069856,34.3054053814371
CHICKEN - 31cm Miel - 31 cm  ID8,55.299723358324385,55.24769889085029,34.2927005281976
CHICKEN - 31cm  - œuf  ID8,55.299723358324385,55.24769889085029,34.2927005281976
CHICKEN - 31cm  - oignons  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - pepperoni  ID8,55.299723358324385,55.24769889085029,34.2927005281976
CHICKEN - 31cm  - poivrons  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - pommes de terre  ID8,56.181032036580135,55.29077589371525,34.919060672155766
CHICKEN - 31cm  - poulet  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm Reblochon - 31 cm  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm Roquefort - 31 cm  ID8,54.67796820532271,54.982710376773326,34.3054053814371
CHICKEN - 31cm Sans Mozzarella  ID8,56.181032036580135,55.250989660718126,34.919060672155766
