ID,ProductID,Name,ProductGroupID,Name,GrossPrice,NetPrice,GuidedActivityID,WorkingOrder
88,88,DECAFEINE GOURMAND_201709,54,GA Desserts_201709,0.00000,6.00,NULL,4
89,89,THE GOURMAND_201709,17,Les Traditionnels_201709,0.00000,6.00,NULL,4
89,89,THE GOURMAND_201709,54,GA Desserts_201709,0.00000,6.00,NULL,4
90,90,POM PIZZ'UP_201709,18,Pizzas dessert_201709,0.00000,5.90,NULL,4
90,90,POM PIZZ'UP_201709,54,GA Desserts_201709,0.00000,5.90,NULL,4
90,90,POM PIZZ'UP_201709,1006,Desserts A Emporter,0.00000,5.90,NULL,4
91,91,PIZZ'UP DOUCEUR_201709,18,Pizzas dessert_201709,0.00000,5.90,NULL,4
91,91,PIZZ'UP DOUCEUR_201709,54,GA Desserts_201709,0.00000,5.90,NULL,4
91,91,PIZZ'UP DOUCEUR_201709,1006,Desserts A Emporter,0.00000,5.90,NULL,4
92,92,PIZZ'GOURMANDE_201709,18,Pizzas dessert_201709,0.00000,5.90,NULL,4
92,92,PIZZ'GOURMANDE_201709,54,GA Desserts_201709,0.00000,5.90,NULL,4
93,93,COUPE 2 BOULES_201709,19,Coupes glacées_201709,0.00000,4.00,6,4
93,93,COUPE 2 BOULES_201709,35,GA Dessert Menu Liberty_201709,0.00000,4.00,6,4
93,93,COUPE 2 BOULES_201709,39,GA Dessert Menu Ciné_201709,0.00000,4.00,6,4
93,93,COUPE 2 BOULES_201709,54,GA Desserts_201709,0.00000,4.00,6,4
94,94,COUPE 3 BOULES_201709,19,Coupes glacées_201709,0.00000,5.50,7,4
94,94,COUPE 3 BOULES_201709,35,GA Dessert Menu Liberty_201709,0.00000,5.50,7,4
94,94,COUPE 3 BOULES_201709,39,GA Dessert Menu Ciné_201709,0.00000,5.50,7,4
94,94,COUPE 3 BOULES_201709,54,GA Desserts_201709,0.00000,5.50,7,4
95,95,Chocolat noir à 70% de cacao d'Equateur_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
96,96,Vanille de Madagascar_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
97,97,Caramel à la fleur de sel de Camargue_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
98,98,Café avec du café Arabica de Colombie_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
99,99,Pistache avec des éclats de pistache grillés_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
100,100,Rhum-Raisin au rhum des Antilles françaises_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
101,101,Nougat_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
102,102,Noisette_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
103,103,Noix de coco_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
104,104,Menthe avec des éclats de chocolat noir_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
105,105,Ananas_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
106,106,Citron jaune avec des morceaux de citron jaune de Sicile _201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
107,107,Framboise_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
108,108,Mangue_201709,46,GA Choix_parfum_glaces_201709,0.00000,0.00,NULL,4
109,109,Sans chantilly_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
110,110,Supplément Chantilly maison_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
111,111,Supplément sauce chocolat_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
112,NULL,Supplément nappage nougat_201709,NULL,NULL,0.00000,1.00,NULL,4
113,113,Supplément caramel liquide_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
114,114,Sans amandes_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
115,115,Supplément amandes effilées _201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
116,116,Sans noix de coco rapée_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
117,117,Supplément noix de coco rapée_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
118,118,Sans brisures de noisettes_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
